id_hogar,region,area,miembros,edad_jefe,educ_jefe,empleo_jefe,vivienda_propia,internet,transferencias,ingreso_pc,pobre,miembros_z,edad_jefe_z,transferencias_z
25,Sierra,Rural,2,46,Primaria,Informal,Sí,Sí,141.14152299916293,361.71,No pobre,-1.134953406093915,-0.00322593914610149,0.8575658568277174
26,Sierra,Urbana,3,49,Secundaria,Desempleado,No,Sí,63.14701904626834,486.86,No pobre,-0.5669086582991627,0.22120725573270755,-0.30549159245479457
27,Sierra,Urbana,5,67,Secundaria,Inactivo,Sí,Sí,23.03648683671223,452.77,No pobre,0.569180837290342,1.5678064250055619,-0.9036216005536413
28,Sierra,Urbana,4,27,Superior,Formal,No,Sí,97.30304632767849,1003,No pobre,0.001136089495589632,-1.4246361733785589,0.20384457809811082
29,Costa,Urbana,3,43,Primaria,Formal,Sí,Sí,58.07049812769468,654.47,No pobre,-0.5669086582991627,-0.22765913402491053,-0.38119289410486396
30,Costa,Urbana,5,55,Primaria,Informal,Sí,No,59.24414257465809,472.25,No pobre,0.569180837290342,0.6700736454903257,-0.36369145685392296
31,Amazonia,Urbana,4,71,Secundaria,Desempleado,No,No,137.08679675157802,400.97,No pobre,0.001136089495589632,1.8670506848439739,0.797101601937358
32,Amazonia,Urbana,4,52,Primaria,Informal,Sí,No,148.07676811012007,260.1,Pobre,0.001136089495589632,0.4456404506115166,0.9609845348126482
33,Sierra,Urbana,4,46,Primaria,Formal,No,Sí,27.260937732010433,414.01,No pobre,0.001136089495589632,-0.00322593914610149,-0.8406264043040161
34,Sierra,Urbana,3,42,Secundaria,Formal,Sí,Sí,101.8123158483773,763.67,No pobre,-0.5669086582991627,-0.30247019898451355,0.2710870021288965
35,Costa,Urbana,2,52,Secundaria,Desempleado,No,Sí,65.63143404929572,565.73,No pobre,-1.134953406093915,0.4456404506115166,-0.26844388742515074
36,Sierra,Urbana,5,60,Superior,Formal,No,No,22.08202410060104,1031.52,No pobre,0.569180837290342,1.0441289702883407,-0.9178545905597978
37,Sierra,Urbana,4,43,Primaria,Formal,Sí,No,21.115183322130147,410.58,No pobre,0.001136089495589632,-0.22765913402491053,-0.9322721624742216
38,Costa,Urbana,7,48,Secundaria,Informal,No,Sí,11.36135683448852,452.59,No pobre,1.7052703328798469,0.14639619077310453,-1.0777216490471746
39,Costa,Urbana,7,49,Primaria,Informal,Sí,Sí,13.993228039232967,245.18,Pobre,1.7052703328798469,0.22120725573270755,-1.0384750706975145
40,Costa,Urbana,5,56,Superior,Inactivo,No,No,57.23983458265353,826.44,No pobre,0.569180837290342,0.7448847104499287,-0.3935797851669703
41,Costa,Rural,4,62,Superior,Inactivo,Sí,No,67.48829620838212,855.74,No pobre,0.001136089495589632,1.1937511002075467,-0.24075427781213776
42,Costa,Rural,2,50,Secundaria,Inactivo,Sí,No,35.46356753506033,643.12,No pobre,-1.134953406093915,0.29601832069231054,-0.7183084304387581
43,Costa,Urbana,4,45,Superior,Informal,No,Sí,69.89767175644108,902.85,No pobre,0.001136089495589632,-0.07803700410570451,-0.20482556441226094
44,Costa,Urbana,5,66,Superior,Informal,Sí,Sí,108.58258488198184,1046.71,No pobre,0.569180837290342,1.492995360045959,0.3720455496431698
45,Costa,Urbana,7,48,Secundaria,Desempleado,Sí,No,9.263279470581024,164.31,Pobre,1.7052703328798469,0.14639619077310453,-1.109008270329328
46,Costa,Urbana,6,68,Superior,Formal,No,Sí,196.63702437412843,1275.82,No pobre,1.1372255850850943,1.6426174899651649,1.6851171970452747
47,Costa,Urbana,6,45,Superior,Formal,No,Sí,142.06253967817952,993.46,No pobre,1.1372255850850943,-0.07803700410570451,0.8713000977697539
48,Sierra,Urbana,3,55,Primaria,Informal,Sí,Sí,283.52998925692054,424.93,No pobre,-0.5669086582991627,0.6700736454903257,2.98086888434637
49,Costa,Rural,1,24,Secundaria,Informal,Sí,Sí,101.90753605570778,381.81,No pobre,-1.7029981538886676,-1.6490693682573678,0.27250693001926213
50,Sierra,Rural,4,44,Superior,Informal,No,No,20.578648562839252,798,No pobre,0.001136089495589632,-0.1528480690653075,-0.9402729922374209
51,Costa,Rural,4,46,Secundaria,Informal,Sí,No,47.988656530479894,388.99,No pobre,0.001136089495589632,-0.00322593914610149,-0.5315337563175248
52,Costa,Rural,2,35,Secundaria,Formal,Sí,Sí,71.75058143805623,730.82,No pobre,-1.134953406093915,-0.8261476537017347,-0.17719489431592012
53,Sierra,Rural,7,31,Superior,Informal,Sí,No,77.13252603331861,614.8,No pobre,1.7052703328798469,-1.1253919135401467,-0.09693910145997542
54,Costa,Urbana,2,59,Superior,Informal,Sí,No,44.5721607311522,1023.7,No pobre,-1.134953406093915,0.9693179053287377,-0.5824806908893551
55,Sierra,Urbana,7,59,Secundaria,Informal,Sí,Sí,147.5232014580572,663.89,No pobre,1.7052703328798469,0.9693179053287377,0.9527297247205814
56,Costa,Urbana,2,28,Secundaria,Informal,Sí,Sí,86.41931007207074,652.71,No pobre,-1.134953406093915,-1.3498251084189559,0.041545827717495695
57,Costa,Urbana,5,52,Primaria,Formal,Sí,Sí,84.71093059093737,548.1,No pobre,0.569180837290342,0.4456404506115166,0.016070398282960183
58,Sierra,Urbana,5,30,Superior,Informal,Sí,No,117.00496468829279,718.73,No pobre,0.569180837290342,-1.2002029784997497,0.4976404451544323
59,Amazonia,Urbana,5,31,Secundaria,Formal,No,Sí,89.74232727101514,729.4,No pobre,0.569180837290342,-1.1253919135401467,0.09109880531781998
60,Costa,Rural,5,53,Primaria,Desempleado,Sí,No,12.266033786363506,30,Pobre,0.569180837290342,0.5204515155711196,-1.0642310668298958
61,Sierra,Rural,2,36,Secundaria,Informal,No,Sí,17.8266234336586,650.03,No pobre,-1.134953406093915,-0.7513365887421316,-0.9813113111558841
62,Costa,Urbana,6,60,Superior,Desempleado,Sí,Sí,31.827035595420163,435.98,No pobre,1.1372255850850943,1.0441289702883407,-0.7725365535448006
63,Costa,Urbana,4,47,Primaria,Informal,Sí,No,40.873681966986815,201.88,Pobre,0.001136089495589632,0.07158512581350153,-0.6376325677481871
64,Costa,Urbana,6,54,Secundaria,Formal,Sí,Sí,92.18905210985481,995.64,No pobre,1.1372255850850943,0.5952625805307227,0.12758447297301406
65,Sierra,Urbana,2,39,Secundaria,Informal,No,Sí,113.77825237906372,539.82,No pobre,-1.134953406093915,-0.5269033938633226,0.44952357027556883
66,Costa,Rural,1,30,Superior,Informal,Sí,Sí,19.482099452962917,812.09,No pobre,-1.7029981538886676,-1.2002029784997497,-0.9566247804546527
67,Sierra,Urbana,3,59,Secundaria,Informal,Sí,Sí,17.269485473561907,476.68,No pobre,-0.5669086582991627,0.9693179053287377,-0.9896193767493247
68,Sierra,Urbana,3,49,Secundaria,Informal,No,Sí,91.13449706485966,706.7,No pobre,-0.5669086582991627,0.22120725573270755,0.11185890208534191
69,Sierra,Rural,6,43,Primaria,Inactivo,No,Sí,32.49296070244824,30,Pobre,1.1372255850850943,-0.22765913402491053,-0.7626062492651422
70,Costa,Urbana,7,47,Primaria,Informal,Sí,Sí,79.83147383101725,138.7,Pobre,1.7052703328798469,0.07158512581350153,-0.05669227402667483
71,Sierra,Rural,2,65,Primaria,Formal,Sí,Sí,270.7475218416586,536.06,No pobre,-1.134953406093915,1.418184295086356,2.7902561719876857
72,Sierra,Rural,6,36,Primaria,Informal,Sí,Sí,25.24934903407494,81.52,Pobre,1.1372255850850943,-0.7513365887421316,-0.8706233028218835
73,Sierra,Rural,4,36,Primaria,Informal,Sí,No,8.568098675921386,248.35,Pobre,0.001136089495589632,-0.7513365887421316,-1.1193748367006628
74,Costa,Rural,3,37,Superior,Formal,No,No,18.1704801127188,915.54,No pobre,-0.5669086582991627,-0.6765255237825286,-0.9761837053401197
75,Sierra,Urbana,5,24,Secundaria,Informal,No,Sí,130.1733804573768,466.64,No pobre,0.569180837290342,-1.6490693682573678,0.6940084362212444
76,Costa,Urbana,5,46.04312114989733,Secundaria,Informal,Sí,Sí,77.85038743633659,619.18,No pobre,0.569180837290342,5.31564587615229e-16,-0.08623432086624656
77,Costa,Urbana,4,49,Superior,Formal,Sí,Sí,17.65522213307522,559.66,No pobre,0.001136089495589632,0.22120725573270755,-0.9838672548359748
78,Sierra,Urbana,3,49,Primaria,Informal,No,Sí,281.21615922692746,443.4,No pobre,-0.5669086582991627,0.22120725573270755,2.9463649498847526
79,Costa,Urbana,7,45,Superior,Formal,Sí,No,21.42038928526861,716.92,No pobre,1.7052703328798469,-0.07803700410570451,-0.9277209178223161
80,Costa,Urbana,1,39,Secundaria,Informal,Sí,Sí,160.80227135981693,742.04,No pobre,-1.7029981538886676,-0.5269033938633226,1.1507477950465694
81,Costa,Urbana,2,34,Secundaria,Formal,Sí,No,39.19222810675456,744.79,No pobre,-1.134953406093915,-0.9009587186613377,-0.6627064811478938
82,Sierra,Urbana,5,58,Primaria,Desempleado,Sí,Sí,263.835324870308,278.08,Pobre,0.569180837290342,0.8945068403691347,2.6871811888671733
83,Costa,Urbana,5,26,Superior,Formal,No,Sí,24.421149133800995,1206.81,No pobre,0.569180837290342,-1.4994472383381618,-0.8829734559056239
84,Sierra,Urbana,2,52,Primaria,Inactivo,No,Sí,244.24439356608735,501.86,No pobre,-1.134953406093915,0.4456404506115166,2.39504036564305
85,Costa,Rural,4,35,Secundaria,Formal,Sí,No,5.396411926577543,636.18,No pobre,0.001136089495589632,-0.8261476537017347,-1.166671168027328
86,Costa,Urbana,4,50,Secundaria,Formal,Sí,No,51.7263781336172,926.27,No pobre,0.001136089495589632,0.29601832069231054,-0.4757966885300491
87,Insular,Urbana,3,36,Secundaria,Inactivo,Sí,No,41.712166304842526,717.61,No pobre,-0.5669086582991627,-0.7513365887421316,-0.6251290526820642
88,Amazonia,Urbana,9,39,Primaria,Formal,Sí,Sí,104.43081300557704,431.86,No pobre,2.841359828469352,-0.5269033938633226,0.3101341460974712
89,Amazonia,Rural,5,71,Secundaria,Inactivo,Sí,Sí,60.850389637620594,487.57,No pobre,0.569180837290342,1.8670506848439739,-0.3397390304996893
90,Costa,Urbana,3,55,Primaria,Formal,Sí,No,27.5695679945826,565.31,No pobre,-0.5669086582991627,0.6700736454903257,-0.8360240963494022
91,Costa,Rural,2,18,Secundaria,Informal,No,Sí,48.40537663597508,639.9,No pobre,-1.134953406093915,-2.097935758014986,-0.5253196079045199
92,Sierra,Urbana,3,48,Primaria,Formal,Sí,Sí,50.971485798216776,604.28,No pobre,-0.5669086582991627,0.14639619077310453,-0.48705367600475635
93,Costa,Urbana,2,40,Superior,Informal,No,No,31.731584588647756,732.35,No pobre,-1.134953406093915,-0.4520923289037196,-0.773959923126524
94,Sierra,Urbana,1,30,Primaria,Formal,No,No,83.63325145894079,585.16,No pobre,-1.7029981538886676,-1.2002029784997497,0
95,Costa,Rural,3,49,Primaria,Formal,No,Sí,66.99703470344964,544.26,No pobre,-0.5669086582991627,0.22120725573270755,-0.24807999082907728
96,Costa,Rural,5,48,Secundaria,Informal,Sí,Sí,21.190023936713448,390.79,No pobre,0.569180837290342,0.14639619077310453,-0.9311561359609617
97,Sierra,Rural,7,41,Primaria,Formal,No,Sí,144.2629417439387,494.79,No pobre,1.7052703328798469,-0.37728126394411654,0.9041125894748554
98,Costa,Urbana,3,74,Primaria,Informal,No,Sí,111.04651608800393,626.68,No pobre,-0.5669086582991627,2.091483879722783,0.40878779939726
99,Sierra,Urbana,4,18,Secundaria,Informal,Sí,Sí,77.89577184806588,767.15,No pobre,0.001136089495589632,-2.097935758014986,-0.08555754653641774
100,Sierra,Urbana,2,58,Secundaria,Informal,Sí,No,29.5168656220929,951.04,No pobre,-1.134953406093915,0.8945068403691347,-0.8069859090815676
101,Sierra,Rural,4,42,Primaria,Informal,No,Sí,13.226049464964055,209.67,Pobre,0.001136089495589632,-0.30247019898451355,-1.0499152711028186
102,Costa,Rural,3,55,Primaria,Informal,No,No,14.043529205220928,324.04,No pobre,-0.5669086582991627,0.6700736454903257,-1.0377249775134454
103,Sierra,Urbana,4,40,Primaria,Inactivo,No,Sí,98.531348709304865,294.6,Pobre,0.001136089495589632,-0.4520923289037196,0.22216107685788006
104,Amazonia,Rural,7,38,Secundaria,Formal,No,Sí,156.90767317357037,485.12,No pobre,1.7052703328798469,-0.6017144588229256,1.0926713768003309
105,Sierra,Rural,5,22,Primaria,Formal,Sí,Sí,129.35063732900258,621.89,No pobre,0.569180837290342,-1.7986914981765738,0.6817396547583923
106,Amazonia,Urbana,5,43,Secundaria,Formal,Sí,Sí,78.41942372924024,695.56,No pobre,0.569180837290342,-0.22765913402491053,-0.07774882681433998
107,Amazonia,Urbana,2,81,Secundaria,Informal,Sí,No,49.206312785312065,694.33,No pobre,-1.134953406093915,2.615161334440004,-0.5133760130654703
108,Sierra,Rural,3,60,Primaria,Inactivo,Sí,No,167.20092368249556,145.84,Pobre,-0.5669086582991627,1.0441289702883407,1.2461647779375036
109,Costa,Rural,6,69,Superior,Formal,Sí,Sí,105.71676833568338,1106.01,No pobre,1.1372255850850943,1.7174285549247679,0.32931036814291226
110,Costa,Urbana,6,59,Primaria,Inactivo,Sí,No,132.47909379074989,179.54,Pobre,1.1372255850850943,0.9693179053287377,0.7283913341483754
111,Amazonia,Urbana,5,62,Secundaria,Formal,Sí,Sí,56.99500992597938,746.04,No pobre,0.569180837290342,1.1937511002075467,-0.39723062113978286
112,Costa,Rural,3,59,Secundaria,Formal,Sí,No,130.9909675276473,888.7,No pobre,-0.5669086582991627,0.9693179053287377,0.7062003303204684
113,Costa,Urbana,3,53,Superior,Formal,Sí,Sí,81.01278068511193,1302.64,No pobre,-0.5669086582991627,0.5204515155711196,-0.03907657462594387
114,Amazonia,Urbana,4,38,Secundaria,Formal,Sí,Sí,83.63325145894079,879.72,No pobre,0.001136089495589632,-0.6017144588229256,0
115,Sierra,Urbana,4,39,Secundaria,Desempleado,Sí,Sí,30.84711666243141,447.4,No pobre,0.001136089495589632,-0.5269033938633226,-0.7871491474705709
116,Costa,Urbana,3,24,Primaria,Informal,Sí,Sí,72.96600815598168,351.77,No pobre,-0.5669086582991627,-1.6490693682573678,-0.15907039801559164
117,Sierra,Urbana,5,46,Primaria,Informal,Sí,Sí,122.47433699259061,393.34,No pobre,0.569180837290342,-0.00322593914610149,0.5791999638258367
118,Amazonia,Rural,1,59,Superior,Formal,Sí,No,42.25286262792218,1151.19,No pobre,-1.7029981538886676,0.9693179053287377,-0.6170661654978947
119,Sierra,Urbana,5,60,Primaria,Informal,Sí,No,34.05666791069642,366.68,No pobre,0.569180837290342,1.0441289702883407,-0.7392881790822968
120,Costa,Urbana,6,47,Secundaria,Formal,Sí,No,11.940070975554821,675.84,No pobre,1.1372255850850943,0.07158512581350153,-1.0690918385007957
121,Sierra,Urbana,7,38,Secundaria,Formal,Sí,Sí,139.24795907785577,915.26,No pobre,1.7052703328798469,-0.6017144588229256,0.8293289489335532
122,Costa,Urbana,5,85,Superior,Formal,Sí,Sí,71.68874523612071,1173.47,No pobre,0.569180837290342,2.914405594278416,-0.17811699845982082
123,Costa,Rural,3,56,Superior,Informal,Sí,Sí,189.48782256944455,1006.25,No pobre,-0.5669086582991627,0.7448847104499287,1.5785079874991326
124,Costa,Urbana,3,66,Secundaria,Informal,Sí,Sí,183.6444741026602,852.37,No pobre,-0.5669086582991627,1.492995360045959,1.4913717199596703
125,Costa,Urbana,6,41,Primaria,Formal,No,No,54.57907253367566,361.54,No pobre,1.1372255850850943,-0.37728126394411654,-0.43325718504762
126,Insular,Urbana,1,45,Primaria,Inactivo,Sí,No,185.74171639541154,524.21,No pobre,-1.7029981538886676,-0.07803700410570451,1.522645888624272
127,Costa,Rural,6,52,Primaria,Informal,Sí,Sí,240.40454955397163,316.64,No pobre,1.1372255850850943,0.4456404506115166,2.337780444032787
128,Costa,Urbana,4,69,Superior,Informal,No,No,167.283947560021,1184.05,No pobre,0.001136089495589632,1.7174285549247679,1.247402833625153
129,Costa,Urbana,4,42,Primaria,Desempleado,Sí,No,74.88686142086718,108.55,Pobre,0.001136089495589632,-0.30247019898451355,-0.13042655023815095
130,Sierra,Urbana,7,58,Superior,Formal,Sí,Sí,108.8128074419617,873.66,No pobre,1.7052703328798469,0.8945068403691347,0.37547863851234414
131,Sierra,Urbana,2,18,Primaria,Informal,No,Sí,82.63585360868854,238.77,Pobre,-1.134953406093915,-2.097935758014986,-0.014873240303379059
132,Amazonia,Rural,3,46.04312114989733,Secundaria,Formal,Sí,Sí,109.81782347634004,421.08,No pobre,-0.5669086582991627,5.31564587615229e-16,0.3904654815101285
133,Sierra,Rural,2,28,Primaria,Desempleado,Sí,Sí,83.55279146861136,81.79,Pobre,-1.134953406093915,-1.3498251084189559,-0.001199822889807222
134,Sierra,Urbana,2,62,Secundaria,Formal,No,No,83.63325145894079,837.99,No pobre,-1.134953406093915,1.1937511002075467,0
135,Sierra,Rural,5,44,Superior,Inactivo,No,Sí,14.8693556764583,692.23,No pobre,0.569180837290342,-0.1528480690653075,-1.0254102171071557
136,Sierra,Rural,4,41,Primaria,Inactivo,No,Sí,18.850355402712164,30,Pobre,0.001136089495589632,-0.37728126394411654,-0.9660453753228218
137,Sierra,Urbana,4,65,Secundaria,Inactivo,No,No,31.1779643905053,392.65,No pobre,0.001136089495589632,1.418184295086356,-0.7822155317000683
138,Sierra,Urbana,5,62,Superior,Formal,Sí,Sí,25.188484950148972,867.51,No pobre,0.569180837290342,1.1937511002075467,-0.87153091069956945
139,Amazonia,Urbana,7,33,Primaria,Formal,No,Sí,33.71495145602821,444.47,No pobre,1.7052703328798469,-0.9757697836209407,-0.7443838697784554
140,Costa,Urbana,4,52,Secundaria,Formal,Sí,Sí,151.53096211188978,1008.32,No pobre,0.001136089495589632,0.4456404506115166,1.0124936266257276
141,Costa,Rural,5,29,Primaria,Informal,Sí,Sí,18.71088278832883,37.78,Pobre,0.569180837290342,-1.2750140434593527,-0.968125197039842
142,Costa,Urbana,2,39,Secundaria,Formal,No,Sí,11.120327146265916,716.11,No pobre,-1.134953406093915,-0.5269033938633226,-1.081315894284696
143,Costa,Urbana,3,69,Primaria,Inactivo,Sí,Sí,25.5885934197401,401.34,No pobre,-0.5669086582991627,1.7174285549247679,-0.8655644757266637
144,Costa,Rural,2,66,Secundaria,Inactivo,Sí,No,34.098622688724625,695.25,No pobre,-1.134953406093915,1.492995360045959,-0.7386625476000046
145,Sierra,Urbana,2,62,Secundaria,Informal,No,No,129.71293038476549,664.72,No pobre,-1.134953406093915,1.1937511002075467,0.6871421846287388
146,Costa,Urbana,2,38,Secundaria,Informal,No,No,88.61274882124646,521.73,No pobre,-1.134953406093915,-0.6017144588229256,0.07425448214158796
147,Costa,Urbana,3,20,Primaria,Inactivo,No,No,117.76395635255822,268.74,Pobre,-0.5669086582991627,-1.9483136280957798,0.508958562000209
148,Costa,Urbana,3,46.04312114989733,Secundaria,Informal,No,Sí,225.30122272458206,906.33,No pobre,-0.5669086582991627,5.31564587615229e-16,2.112558974729269
149,Costa,Urbana,4,59,Secundaria,Formal,No,No,58.43654638967312,762.36,No pobre,0.001136089495589632,0.9693179053287377,-0.37573436643542624
150,Sierra,Urbana,5,42,Secundaria,Formal,Sí,No,117.51550963632127,651.18,No pobre,0.569180837290342,-0.30247019898451355,0.5052537137170057
151,Sierra,Rural,3,18,Superior,Inactivo,No,No,152.28964665681198,780.98,No pobre,-0.5669086582991627,-2.097935758014986,1.0238071636944448
152,Sierra,Urbana,7,43,Secundaria,Informal,Sí,No,154.1504268112992,494.29,No pobre,1.7052703328798469,-0.22765913402491053,1.0515551986259897
153,Costa,Rural,5,46.04312114989733,Secundaria,Informal,Sí,Sí,315.290845048297,611.44,No pobre,0.569180837290342,5.31564587615229e-16,3.4544881530330205
154,Costa,Rural,2,55,Primaria,Inactivo,Sí,No,71.93360886210277,236.51,Pobre,-1.134953406093915,0.6700736454903257,-0.17446558137498666
155,Costa,Urbana,3,35,Superior,Informal,Sí,Sí,58.33552624052756,846.02,No pobre,-0.5669086582991627,-0.8261476537017347,-0.3772407833114453
156,Costa,Urbana,3,24,Secundaria,Inactivo,Sí,Sí,69.97025593866252,542.08,No pobre,-0.5669086582991627,-1.6490693682573678,-0.20374318591692872
157,Sierra,Urbana,4,34,Primaria,Formal,No,Sí,129.5927277727333,716.41,No pobre,0.001136089495589632,-0.9009587186613377,0.6853497180283782
158,Costa,Rural,6,46,Secundaria,Informal,Sí,Sí,122.52061632818403,398.62,No pobre,1.1372255850850943,-0.00322593914610149,0.5798900832994126
159,Costa,Urbana,3,58,Primaria,Formal,No,No,73.41810524930483,451.34,No pobre,-0.5669086582991627,0.8945068403691347,-0.15232870641503954
160,Costa,Urbana,3,19,Primaria,Informal,Sí,Sí,83.71349317584706,542.47,No pobre,-0.5669086582991627,-2.023124693055383,0.0011965679869881999
161,Sierra,Urbana,8,60,Superior,Inactivo,Sí,Sí,121.81171025243411,833.85,No pobre,2.273315080674599,1.0441289702883407,0.5693188449370205
162,Costa,Urbana,2,46,Secundaria,Inactivo,Sí,Sí,2.7041273570941735,487.38,No pobre,-1.134953406093915,-0.00322593914610149,-1.2068186331104722
163,Sierra,Urbana,4,54,Primaria,Formal,Sí,Sí,85.19059377389046,696.82,No pobre,0.001136089495589632,0.5952625805307227,0.023223156615997144
164,Costa,Urbana,5,23,Primaria,Desempleado,No,Sí,16.28077307429645,30,Pobre,0.569180837290342,-1.7238804332169708,-1.0043630992282597
165,Costa,Urbana,4,37,Primaria,Formal,No,No,192.5547791073742,497.31,No pobre,0.001136089495589632,-0.6765255237825286,1.6242425773391953
166,Sierra,Urbana,10,40,Secundaria,Inactivo,Sí,Sí,68.56214285240175,218.05,Pobre,3.4094045762641043,-0.4520923289037196,-0.2247410297572702
167,Sierra,Rural,1,61,Primaria,Inactivo,No,No,24.09249801317143,352.19,No pobre,-1.7029981538886676,1.1189400352479437,-0.8878743157699821
168,Costa,Urbana,9,60,Primaria,Informal,Sí,No,43.77129704717267,317.09,No pobre,2.841359828469352,1.0441289702883407,-0.5944232051218294
169,Costa,Urbana,5,52,Primaria,Informal,Sí,Sí,13.40590114565381,388.36,No pobre,0.569180837290342,0.4456404506115166,-1.0472333149855189
170,Costa,Rural,4,46.04312114989733,Primaria,Informal,Sí,Sí,83.63325145894079,398.16,No pobre,0.001136089495589632,5.31564587615229e-16,0
171,Sierra,Urbana,2,39,Secundaria,Inactivo,Sí,Sí,96.29202779982758,597.93,No pobre,-1.134953406093915,-0.5269033938633226,0.18876822565551032
172,Costa,Urbana,4,60,Secundaria,Formal,Sí,Sí,59.42101223652566,873.47,No pobre,0.001136089495589632,1.0441289702883407,-0.36105396873153683
173,Sierra,Urbana,2,45,Secundaria,Informal,Sí,Sí,119.28695505990551,670.55,No pobre,-1.134953406093915,-0.07803700410570451,0.5316695852397144
174,Sierra,Rural,4,37,Secundaria,Inactivo,Sí,No,8.319471926896377,414.99,No pobre,0.001136089495589632,-0.6765255237825286,-1.1230823696406644
175,Sierra,Urbana,6,59,Secundaria,Formal,No,No,31.93499694896928,789.92,No pobre,1.1372255850850943,0.9693179053287377,-0.770926629125565
176,Sierra,Urbana,2,65,Primaria,Formal,No,No,86.1590882566157,934.96,No pobre,-1.134953406093915,1.418184295086356,0.03766538864048594
177,Costa,Rural,3,58,Secundaria,Informal,No,Sí,32.79134987197608,621.95,No pobre,-0.5669086582991627,0.8945068403691347,-0.7581566569372753
178,Sierra,Urbana,6,39,Secundaria,Informal,Sí,Sí,83.63325145894079,530.78,No pobre,1.1372255850850943,-0.5269033938633226,0
179,Sierra,Urbana,1,39,Primaria,Formal,Sí,No,126.75894771396356,853.14,No pobre,-1.7029981538886676,-0.5269033938633226,0.6430922660293127
180,Sierra,Urbana,5,65,Secundaria,Desempleado,Sí,No,131.35237955530167,250.37,Pobre,0.569180837290342,1.418184295086356,0.7115897222611821
